,date,fips,cases,deaths,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,FIPS,Density per square mile of land area - Population,Total_age0to17,Total_age85plusr,Total_age65plus,Total_age18to64,Percent of adults with a bachelor's degree or higher 2014-18,Less than a high school diploma 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),MD and DO Student Enrollment per 100000 Population AY 2018-2019 (AAMC),Total nurse practitioners (2019),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,fips code,state,county,2013 NCHS scheme,High_risk_by_deaths,High_risk_by_cases
39,7/25/20,13081,349,14,50.6,58.6,58.0,66.5,77.5,80.6,82.2,82.0,80.0,72.0,54.8,54.4,13081,86.0,5464.0,520.0,4217.0,12920.0,13.7,2999,4.9,36096.0,228.7,28.6,10.34498537,16.0,0.0,13081,GA ,Crisp County ,Micropolitan ,1,1
40,7/25/20,13083,95,1,41.0,49.1,48.9,60.6,70.4,73.1,76.9,76.7,76.6,63.4,47.3,47.2,13083,95.6,3119.0,316.0,3132.0,9975.0,13.9,2315,3.6,48779.0,228.7,28.6,7.427004675,0.0,0.0,13083,GA ,Dade County ,Medium metro ,0,0
41,7/25/20,13085,229,3,41.2,48.2,49.9,59.0,70.1,71.8,77.1,75.7,75.1,63.9,47.7,47.1,13085,105.9,5186.0,336.0,5045.0,14852.0,30.4,2376,3.3,68835.0,228.7,28.6,11.48105252,0.0,0.0,13085,GA ,Dawson County ,Large fringe metro ,0,0
42,7/25/20,13089,11025,206,44.2,51.8,53.2,62.3,74.0,75.6,80.3,80.3,79.3,66.4,50.3,49.4,13089,2585.7,174942.0,10321.0,94120.0,487496.0,43.4,55530,4.0,63477.0,228.7,28.6,346.2935907,168.0,6040597143.0,13089,GA ,DeKalb County ,Large fringe metro ,1,1
43,7/25/20,13087,496,8,51.6,61.9,60.3,67.0,77.8,81.4,81.9,82.2,81.6,73.6,56.9,56.2,13087,46.6,6505.0,492.0,4307.0,15763.0,14.6,3272,4.7,38441.0,228.7,28.6,12.16397444,10.0,0.0,13087,GA ,Decatur County ,Micropolitan ,1,1
44,7/25/20,13091,195,2,50.1,58.7,57.9,66.8,77.4,79.7,82.2,81.9,80.1,71.5,54.6,54.1,13091,44.0,4012.0,393.0,3737.0,12956.0,13.7,2502,5.2,35636.0,228.7,28.6,9.477143584,6.0,0.0,13091,GA ,Dodge County ,Noncore ,0,0
45,7/25/20,13093,230,14,50.1,57.5,57.2,66.0,77.1,80.4,81.9,82.0,80.0,71.5,54.2,53.8,13093,38.1,2356.0,284.0,2758.0,8592.0,11.3,2506,4.6,37278.0,228.7,28.6,6.273544069,0.0,0.0,13093,GA ,Dooly County ,Noncore ,1,0
46,7/25/20,13095,2451,162,50.7,60.5,59.5,67.2,78.1,80.9,82.2,81.9,80.8,73.0,55.8,54.8,13095,287.7,21222.0,1710.0,14027.0,55994.0,21.4,10120,5.1,38806.0,228.7,28.6,41.76397064,50.0,2613475577.0,13095,GA ,Dougherty County ,Small metro ,1,1
47,7/25/20,13097,2027,46,44.3,52.4,53.5,62.5,73.7,75.4,80.0,79.9,78.7,66.3,49.9,49.4,13097,661.8,37605.0,1333.0,16774.0,90952.0,27.1,10972,4.1,60512.0,228.7,28.6,66.52126318,8.0,894896804.0,13097,GA ,Douglas County ,Large fringe metro ,1,1
48,7/25/20,13099,326,31,50.9,60.4,59.8,66.7,77.4,81.3,81.9,82.0,81.5,72.7,55.6,54.8,13099,21.5,2573.0,239.0,1948.0,5726.0,15.6,1380,4.6,34984.0,228.7,28.6,4.690282072,0.0,0.0,13099,GA ,Early County ,Noncore ,1,1
49,7/25/20,13101,217,0,52.6,61.4,59.6,66.4,76.4,79.7,81.0,81.5,78.4,74.2,56.2,56.6,13101,9.7,1066.0,60.0,521.0,2413.0,8.8,807,3.2,38667.0,228.7,28.6,1.83088985,0.0,,13101,GA ,Echols County ,Small metro ,0,0
50,7/25/20,13103,524,1,51.1,58.8,59.2,66.3,78.1,79.8,82.6,82.1,79.3,71.9,54.8,54.5,13103,109.4,16464.0,602.0,7222.0,38504.0,20.1,4568,3.3,65793.0,228.7,28.6,28.46575994,0.0,0.0,13103,GA ,Effingham County ,Medium metro ,0,1
51,7/25/20,13105,279,1,44.8,51.2,52.8,63.0,74.2,76.0,80.8,79.7,78.1,67.1,49.7,48.8,13105,57.4,4113.0,466.0,3999.0,11008.0,10.8,3052,4.8,39681.0,228.7,28.6,8.751653481,4.0,0.0,13105,GA ,Elbert County ,Noncore ,0,0
52,7/25/20,13107,324,4,50.6,57.1,57.6,65.5,77.2,78.6,81.9,81.8,79.3,71.1,53.5,52.9,13107,33.2,5584.0,370.0,3643.0,13385.0,12.4,3085,5.9,37574.0,228.7,28.6,10.35002032,8.0,0.0,13107,GA ,Emanuel County ,Noncore ,0,1
53,7/25/20,13109,150,1,52.1,59.3,60.1,67.2,78.4,80.1,82.9,82.5,79.6,71.9,54.9,54.1,13109,60.2,2870.0,188.0,1718.0,6133.0,15.5,1857,3.7,37319.0,228.7,28.6,4.9072425189999995,0.0,0.0,13109,GA ,Evans County ,Noncore ,0,0
54,7/25/20,13111,229,2,39.0,46.3,47.3,58.0,67.7,69.8,74.1,73.5,72.4,61.2,44.9,44.7,13111,61.2,4310.0,730.0,7663.0,13991.0,21.3,2539,3.9,43439.0,228.7,28.6,11.88430601,5.0,0.0,13111,GA ,Fannin County ,Noncore ,0,0
55,7/25/20,13113,788,23,45.5,53.7,54.6,63.3,74.8,76.6,80.9,81.3,79.8,67.2,51.4,50.6,13113,548.3,26093.0,2079.0,20636.0,66730.0,46.5,3926,3.5,95021.0,228.7,28.6,51.93273286,37.0,0.0,13113,GA ,Fayette County ,Large fringe metro ,1,1
56,7/25/20,13115,1017,15,42.6,51.1,51.4,62.1,72.9,75.6,79.9,79.4,79.1,65.6,48.7,48.8,13115,188.9,22702.0,1913.0,16390.0,58835.0,20.4,12190,4.3,44906.0,228.7,28.6,44.82338757,65.0,0.0,13115,GA ,Floyd County ,Small metro ,1,1
57,7/25/20,13117,1597,16,42.2,49.1,50.8,59.9,71.6,73.4,78.4,77.3,76.9,65.0,48.9,47.7,13117,783.5,64808.0,2386.0,28421.0,143383.0,51.7,10170,3.1,105921.0,228.7,28.6,108.3026273,24.0,1.0,13117,GA ,Forsyth County ,Large fringe metro ,1,1
58,7/25/20,13119,321,3,43.7,50.2,51.8,61.6,73.4,75.1,79.9,78.6,77.5,66.2,49.7,48.3,13119,84.5,5006.0,468.0,4376.0,13641.0,13.5,3072,3.8,42904.0,228.7,28.6,10.53814425,8.0,0.0,13119,GA ,Franklin County ,Noncore ,0,1
59,7/25/20,13121,15649,372,44.1,51.9,53.2,62.4,73.8,75.5,80.2,80.1,79.1,66.3,50.1,49.3,13121,1748.0,229407.0,14296.0,122730.0,697977.0,51.4,54469,4.0,70808.0,228.7,28.6,480.6607659,538.0,5585337899.0,13121,GA ,Fulton County ,Large central metro ,1,1
60,7/25/20,13123,421,3,39.8,47.3,48.4,58.6,68.7,70.7,75.8,74.5,73.6,62.4,45.9,46.0,13123,66.3,5906.0,641.0,7651.0,17259.0,20.0,3951,4.2,47757.0,228.7,28.6,14.105175400000002,0.0,0.0,13123,GA ,Gilmer County ,Noncore ,0,1
61,7/25/20,13125,19,0,47.4,54.0,55.1,64.1,75.7,77.3,81.3,80.6,78.4,69.4,51.4,50.7,13125,21.4,651.0,84.0,538.0,1806.0,9.0,467,4.2,42820.0,228.7,28.6,1.370878775,0.0,0.0,13125,GA ,Glascock County ,Noncore ,0,0
62,7/25/20,13127,2083,19,53.4,61.0,60.9,68.2,78.6,81.2,82.8,82.1,80.7,74.9,57.7,57.4,13127,189.7,18521.0,1774.0,17247.0,49451.0,29.6,7039,3.7,53906.0,228.7,28.6,39.00665052,24.0,0.0,13127,GA ,Glynn County ,Small metro ,1,1
63,7/25/20,13129,802,21,42.4,50.5,51.0,61.4,72.5,75.1,79.9,78.9,78.6,65.1,48.5,48.2,13129,155.1,14047.0,825.0,8560.0,35078.0,14.4,8430,3.8,49101.0,228.7,28.6,26.40372024,8.0,0.0,13129,GA ,Gordon County ,Micropolitan ,1,1
64,7/25/20,13131,346,4,51.3,61.7,59.9,66.8,77.6,80.6,81.4,81.6,80.8,73.0,56.8,55.9,13131,55.0,6137.0,469.0,4512.0,14099.0,14.1,3343,3.9,41002.0,228.7,28.6,11.3277155,4.0,0.0,13131,GA ,Grady County ,Noncore ,0,1
